 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
EES,,,Elizabeth House,,"Transitional housing, basic health care, hygiene and nutritional education, child birth and infant care education, instruction in parenting and discipline skills, training in financial management, career planning, job skills and job research training, personal counseling on emotional and spiritual issues, bible study and devotional times, transitional and continuing support for alumnae and their children.",Women in crisis pregnancy and their children.,Mon-Fri 9am-530pm,P.O. Box 94077,,CA,Pasadena,91109,626.577.4434,,www.elizabethhouse.net,,
SS,,,Elizabeth House,,"Transitional housing, basic health care, hygiene and nutritional education, child birth and infant care education, instruction in parenting and discipline skills, training in financial management, career planning, job skills and job research training, personal counseling on emotional and spiritual issues, bible study and devotional times, transitional and continuing support for alumnae and their children.",Women in crisis pregnancy and their children.,Mon-Fri 9am-530pm,P.O. Box 94077,,CA,Pasadena,91109,626.577.4434,,www.elizabethhouse.net,,
MHS,,,Elizabeth House,,"Transitional housing, basic health care, hygiene and nutritional education, child birth and infant care education, instruction in parenting and discipline skills, training in financial management, career planning, job skills and job research training, personal counseling on emotional and spiritual issues, bible study and devotional times, transitional and continuing support for alumnae and their children.",Women in crisis pregnancy and their children.,Mon-Fri 9am-530pm,P.O. Box 94077,,CA,Pasadena,91109,626.577.4434,,www.elizabethhouse.net,,
CM,,,Elizabeth House,,"Transitional housing, basic health care, hygiene and nutritional education, child birth and infant care education, instruction in parenting and discipline skills, training in financial management, career planning, job skills and job research training, personal counseling on emotional and spiritual issues, bible study and devotional times, transitional and continuing support for alumnae and their children.",Women in crisis pregnancy and their children.,Mon-Fri 9am-530pm,P.O. Box 94077,,CA,Pasadena,91109,626.577.4434,,www.elizabethhouse.net,,
FB,,,Emergency Food & Clothing,,Food Pantry,,Tues-Weds 10am-3:00pm,444 East Washington Blvd,,CA,Pasadena,91104,626.797.2402,,,confirmed,
SS,,,Emerson Village,,Provides affordable housing. ,"Seniors, anyone over 18 with a disability.",M-F 9:00a.m.-4:00p.m.,755 N. Palomares St.,,CA,Pomona,,909.623.1421,,www.emerson-village.com,confirmed,
SS,Gene,Chu,Employment Development Department,Employment Program Representative,Job services,Any individual 18 and over.,Mon-Fri 8:30-4:45pm,1055 Wilshire Blvd..,STE 900A,CA,Los Angeles,90017,213.353.1677,,www.edd.ca.gov,confirmed,
EES,Gene,Chu,Employment Development Department,Employment Program Representative,Job services,Any individual 18 and over.,Mon-Fri 8:30-4:45pm,1055 Wilshire Blvd..,STE 900A,CA,Los Angeles,90017,213.353.1677,,www.edd.ca.gov,confirmed,
SS,,,Employment Development Department,Unemployment and Employment services,,,M-F 8:00 a.m. to 5:00 p.m.,264 E. Monterey Ave.,,CA,Pomona,91769,909.392.2659,,www.edd.ca.gov,number didn't work,
EES,,,Employment Development Department,Unemployment and Employment services,,,M-F 8:00 a.m. to 5:00 p.m.,264 E. Monterey Ave.,,CA,Pomona,91769,909.392.2659,,www.edd.ca.gov,number didn't work,
MHS,,,ENKI- Homeless CalWORKs Families Project,,"Counseling, case management, crisis management, group therapy, skill building groups, employment resources, housing resources, school/education assistance",CalWORKs,Mon-Fri 8am-5pm,536 S. Second Ave,Ste J,CA,Covina,91723,626.967.2888,,www.ehrs.com,,
EES,,,ENKI- Homeless CalWORKs Families Project,,"Counseling, case management, crisis management, group therapy, skill building groups, employment resources, housing resources, school/education assistance",CalWORKs,Mon-Fri 8am-5pm,536 S. Second Ave,Ste J,CA,Covina,91723,626.967.2888,,www.ehrs.com,,
PSH,,,ENKI- Homeless CalWORKs Families Project,,"Counseling, case management, crisis management, group therapy, skill building groups, employment resources, housing resources, school/education assistance",CalWORKs,Mon-Fri 8am-5pm,536 S. Second Ave,Ste J,CA,Covina,91723,626.967.2888,,www.ehrs.com,,
SS,,,ENKI- Homeless CalWORKs Families Project,,"Counseling, case management, crisis management, group therapy, skill building groups, employment resources, housing resources, school/education assistance",CalWORKs,Mon-Fri 8am-5pm,536 S. Second Ave,Ste J,CA,Covina,91723,626.967.2888,,www.ehrs.com,,
CM,,,ENKI- Homeless CalWORKs Families Project,,"Counseling, case management, crisis management, group therapy, skill building groups, employment resources, housing resources, school/education assistance",CalWORKs,Mon-Fri 8am-5pm,536 S. Second Ave,Ste J,CA,Covina,91723,626.967.2888,,www.ehrs.com,,
PSH,Mark,Tousignant,"Enterprise Community Partners, Inc.",Senior Program Director,"To  create opportunity for low- and moderate income people through affordable housing in diverse, thriving communities.",,8:30-5pm,315 W. 9th St.,STE 801,CA,Los Angeles,90015,"213.833.7988
ext. 41",,www.enterprisecommunities.com,automated system- Shakeh can you follow up?,
CDR,,,Ettie Lee Homes Inc Ettie Lee Youth & Family Services ,,"Sliding fee scale Outpatient, Residential, etc.) Partial hospitalization/day treatment; Day Treatment or Partial Hospitalization; Intensive Outpatient treatment; Regular Outpatient treatment",,,"160 East Holt Avenue Pomona, CA 91767",,CA,Pomona,91767,,,,,
LS,,,Eviction Defense Network,,Low-cost assistance,Low-income community,,1930 Wilshire Blvd.,STE 208,CA,Los Angeles,90057,213.387.2822,,,,
FB,,,Faith Center Ministry,,Food Pantry,,Wed 4pm-6pm,201470A Yellow brick Rd.,,CA,Walnut,91789,909.468.0366,,,,
HS,,,"East Valley Community Health Center Pomona Clinic Coalition 
",,"Medical Services: primary health care, pediatrics, free immunization, OB-GYN, pregnancy testing and counseling, contraception, AIDS/HIV testing and counseling, TB screening-- Teen outreach. Sliding scale or no cost services for those who qualify.",,Mon.-Thurs 7:30am to 8pm Fri & Sat: 7:30-4:00pm Call or walk in appointment available. Bring medical insurance information if you have it. 626-919-5724,"1555 S Garey Ave Pomona, CA",,CA,Pomona,91767,,,,,
HCS,,,Family PACT,,"No-Cost family planning services to eligible low income men and women, including teens.","Low income California residents who do not have insurance that covers family planning, or have insurance but need to keep family planning confidential.",call/visit website to find location,call/visit website to find location,,CA,,,800.942.1054,,www.familypact.org,,
BH,Pam,Risinger,Family Promise,Outreach,"Through a network religious organizations provides resources for homeless families such as  food, housing, and support services.",,,1005 E. Las Tunas Dr. ,#525,CA,San Gabriel,91776,626.569.0991,,www.nihn.org  http//:web.fpsgv.org,number didn't work,
CM,Pam,Risinger,Family Promise,Outreach,"Through a network religious organizations provides resources for homeless families such as  food, housing, and support services.",,,1005 E. Las Tunas Dr. ,#525,CA,San Gabriel,91776,626.569.0991,,www.nihn.org  http//:web.fpsgv.org,number didn't work,
SS,Pam,Risinger,Family Promise,Outreach,"Through a network religious organizations provides resources for homeless families such as  food, housing, and support services.",,,1005 E. Las Tunas Dr. ,#525,CA,San Gabriel,91776,626.596.0991,,www.nihn.org  http//:web.fpsgv.org,number didn't work,
BH,Lynnea,Hughes,Family Promise of San Gabriel Valley,,30-90 day housing for families with children,,M-F 10am-8pm,1255 San Gabriel Blvd,,CA,Rosemead,91770,(626) 569-0991,,www.fpsgv.org,number didn't work,
SS,Katherine,Rodriguez,Family Resource Center Rowland Unified School District,Community Liaison,"Resource referrals, assistance with school supplies and uniforms.",Homeless students in School District,Mon-Fri 8-4:30pm,17800 E. Renault St.,,CA,La Puente,91744,"626.854.8520
ext.1791",,www.rowlandschools.org,confirmed,
CA,Katherine,Rodriguez,Family Resource Center Rowland Unified School District,Community Liaison,"Resource referrals, assistance with school supplies and uniforms.",Homeless students in School District,Mon-Fri 8-4:30pm,17800 E. Renault St.,,CA,La Puente,91744,"626.854.8520
ext.1791",,www.rowlandschools.org,confirmed,
SS,,,Family Resource- Pomona Unified School District,,"Medical referral, Health Family application, childcare referral available, information and resource referral. Will assist the children of homeless families. No Fee.",,M-F 8:00a.m. to 4:30p.m.,1690 S. White Ave.,,CA,Pomona,91766,909.623.2593,,,number didn't work,
HCS,,,Family Resource- Pomona Unified School District,,"Medical referral, Health Family application, childcare referral available, information and resource referral. Will assist the children of homeless families. No Fee.",,M-F 8:00a.m. to 4:30p.m.,1690 S. White Ave.,,CA,Pomona,91766,909.623.2593,,,number didn't work,
CM,,,Female Veterans & Veterans with Families- HVRP (VOA),,"To assist veterans with all aspects of reintegration into society through intensive case work services, to secure and maintain gainful employment, thereby increasing their likelihood of long term economic self-sufficiency and residential stability.",Female or Male veteran homeless or at risk of homelessness. Males must have physical custody of dependent children under the age of eighteen. Any character of discharge other than dishonorable.,,240 N. Breed St.,,CA,Los Angeles,90033,323.395.2142,,www.womensheath.va.org,,
SS,,,Female Veterans & Veterans with Families- HVRP (VOA),,"To assist veterans with all aspects of reintegration into society through intensive case work services, to secure and maintain gainful employment, thereby increasing their likelihood of long term economic self-sufficiency and residential stability.",Female or Male veteran homeless or at risk of homelessness. Males must have physical custody of dependent children under the age of eighteen. Any character of discharge other than dishonorable.,,240 N. Breed St.,,CA,Los Angeles,90033,323.395.2142,,www.womensheath.va.org,,
FB,,,First Church of the Nazarene,,Food Pantry,,Weds-Thurs 2-4pm,3700 East Sierra Madre Blvd,,CA,Pasadena,91104,626.351.9631,,,confirmed,
FB,,,First Church of the Open Bible,,Food pantry for those in need by appointment.,,Call for appointment,7915 Hellman Ave,,CA,Rosemead,91770,626.571.2054,,,,
FB,,,First Family Church,,Food Pantry,,"Sun 10:15-11am, 12:15-1pm",8434 South Greenleaf Ave,,CA,Whittier,90602,626.893.1236,,,confirmed,
FB,,,First Presbyterian Church of Covina,,Food Bank,,Food Bank open 2nd Sunday of each month 12:00 noon to 1:00pm,310 North Second Ave,,CA,Covina,91723,626.332.6251,,,,
FB,,,First United Methodist Church,,Food Pantry,,Last Sunday of the Month- 11:30am-12:30pm,15701 Hill St,,CA,La Puente,91744,626.336.1927,,,confirmed,
FB,,,Florence Avenue Foursquare,,Food Pantry,,Sat 9-11a.m. Sun by appointment,11457 East Florence Ave,,CA,Santa Fe Springs,90670,562.868.2234,,,confirmed,
FB,,,Food Net Los Nietos Services,,Food Pantry,,2nd and 4th Friday 9am-3pm,11640 West Slauson Ave,,CA,Whittier,90606,562.699.2040,,,confirmed,
FB,,,Food Net San Gabriel Valley,,Food Pantry,,1st and 4th Weds 9-11am,1441 Santa Anita Ave,,CA,South El Monte,91733,323.957.7757,,,confirmed,
CM,Anthony,Brazier,Foothill AIDS Project,Housing Coordinator,"Foothill AIDS Project (FAP) will be providing case management, housing, mental health services, substance abuse counseling, food, and transportation services to clients in Victorville",,Beginning June 2012 we will be offering our services every Wednesday.,233 Harrison Ave,,CA,Claremont,91711,909.482.2070,abrazier@fapinfo.org,www.fapinfo.org,confirmed,
MHS,Anthony,Brazier,Foothill AIDS Project,Housing Coordinator,"Foothill AIDS Project (FAP) will be providing case management, housing, mental health services, substance abuse counseling, food, and transportation services to clients in Victorville",,Beginning June 2012 we will be offering our services every Wednesday.,233 Harrison Ave,,CA,Claremont,91711,909.482.2070,abrazier@fapinfo.org,www.fapinfo.org,confirmed,
SS,Anthony,Brazier,Foothill AIDS Project,Housing Coordinator,"Foothill AIDS Project (FAP) will be providing case management, housing, mental health services, substance abuse counseling, food, and transportation services to clients in Victorville",,Beginning June 2012 we will be offering our services every Wednesday.,233 Harrison Ave,,CA,Claremont,91711,909.482.2070,abrazier@fapinfo.org,www.fapinfo.org,confirmed,
FB,Anthony,Brazier,Foothill AIDS Project,Housing Coordinator,"Foothill AIDS Project (FAP) will be providing case management, housing, mental health services, substance abuse counseling, food, and transportation services to clients in Victorville",,Beginning June 2012 we will be offering our services every Wednesday.,233 Harrison Ave,,CA,Claremont,91711,909.482.2070,abrazier@fapinfo.org,www.fapinfo.org,confirmed,
MHS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon & Wed 8am-9pm,Tues&Thurs8am-7pm, Fri8am-5pm",1801 Huntington Dr.,Ste 200,CA,Duarte,91010,"626.301.9700
Intake Department:
866.304.4337",,www.foothillfamily.org,,
CM,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon & Wed 8am-9pm,Tues&Thurs8am-7pm, Fri8am-5pm",1801 Huntington Dr.,Ste 200,CA,Duarte,91010,"626.301.9700
Intake Department:
866.304.4337",,www.foothillfamily.org,,
SS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon & Wed 8am-9pm,Tues&Thurs8am-7pm, Fri8am-5pm",1801 Huntington Dr.,Ste 200,CA,Duarte,91010,"626.301.9700
Intake Department:
866.304.4337",,www.foothillfamily.org,,
EES,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon & Wed 8am-9pm,Tues&Thurs8am-7pm, Fri8am-5pm",1801 Huntington Dr.,Ste 200,CA,Duarte,91010,"626.301.9700
Intake Department:
866.304.4337",,www.foothillfamily.org,,
EES,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-9pm, Fri 8am-5pm",11429 Valley Blvd,,CA,El Monte,91731,"626.442.8391 
Intake Department: 
866.304.4337",,www.foothhillfamily.org,,
SS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-9pm, Fri 8am-5pm",11429 Valley Blvd,,CA,El Monte,91731,"626.442.8391 
Intake Department: 
866.304.4337",,www.foothhillfamily.org,,
CM,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-9pm, Fri 8am-5pm",11429 Valley Blvd,,CA,El Monte,91731,"626.442.8391 
Intake Department: 
866.304.4337",,www.foothhillfamily.org,,
MHS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-9pm, Fri 8am-5pm",11429 Valley Blvd,,CA,El Monte,91731,"626.442.8391 
Intake Department: 
866.304.4337",,www.foothhillfamily.org,,
HCS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-9pm, Fri 8am-5pm",11429 Valley Blvd,,CA,El Monte,91731,"626.442.8391 
Intake Department: 
866.304.4337",,www.foothhillfamily.org,,
EES,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-5pm,17328 Amar Rd,,CA,La Puente,91746,"626.917.1396 
Intake Department: 
866.304.4337",,www.foothillfamily.org,,
MHS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-5pm,17328 Amar Rd,,CA,La Puente,91746,"626.917.1396 
Intake Department: 
866.304.4337",,www.foothillfamily.org,,
CM,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-5pm,17328 Amar Rd,,CA,La Puente,91746,"626.917.1396 
Intake Department: 
866.304.4337",,www.foothillfamily.org,,
SS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-5pm,17328 Amar Rd,,CA,La Puente,91746,"626.917.1396 
Intake Department: 
866.304.4337",,www.foothillfamily.org,,
SS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-6pm, Fri 8am-5pm.",2500 E. Foothill Blvd ,STE 300,CA,Pasadena,91107,"626.564.1613 

Intake Department:
866.304.4337",,www.foothillfamily.org,,
MHS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-6pm, Fri 8am-5pm.",2500 E. Foothill Blvd ,STE 300,CA,Pasadena,91107,"626.564.1613 

Intake Department:
866.304.4337",,www.foothillfamily.org,,
CM,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-6pm, Fri 8am-5pm.",2500 E. Foothill Blvd ,STE 300,CA,Pasadena,91107,"626.564.1613 

Intake Department:
866.304.4337",,www.foothillfamily.org,,
DV,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-6pm, Fri 8am-5pm.",2500 E. Foothill Blvd ,STE 300,CA,Pasadena,91107,"626.564.1613 

Intake Department:
866.304.4337",,www.foothillfamily.org,,
EES,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8am-6pm, Fri 8am-5pm.",2500 E. Foothill Blvd ,STE 300,CA,Pasadena,91107,"626.564.1613 

Intake Department:
866.304.4337",,www.foothillfamily.org,,
SS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8:30am-8:30pm, Fri 8:30am-5:30pm",118 South Oak Knoll Ave,,CA,Pasadena,91101,"626.795.6907 

Intake Department: 
866.304.4337",,www.foothillfamily.org,,
MHS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8:30am-8:30pm, Fri 8:30am-5:30pm",118 South Oak Knoll Ave,,CA,Pasadena,91101,"626.795.6907 

Intake Department: 
866.304.4337",,www.foothillfamily.org,,
CM,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8:30am-8:30pm, Fri 8:30am-5:30pm",118 South Oak Knoll Ave,,CA,Pasadena,91101,"626.795.6907 

Intake Department: 
866.304.4337",,www.foothillfamily.org,,
DV,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8:30am-8:30pm, Fri 8:30am-5:30pm",118 South Oak Knoll Ave,,CA,Pasadena,91101,"626.795.6907 

Intake Department: 
866.304.4337",,www.foothillfamily.org,,
EES,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.","Mon-Thurs 8:30am-8:30pm, Fri 8:30am-5:30pm",118 South Oak Knoll Ave,,CA,Pasadena,91101,"626.795.6907 

Intake Department: 
866.304.4337",,www.foothillfamily.org,,
MHS,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-9pm,1215 W. West Covina Pkwy ,STE. 200,CA,West Covina,91790,"626.338.9200 

Intake Department 

866.304.4337",,www.foothillfamily.org,,
CM,,,Foothill Family Service,,"Individual therapy, play therapy, family therapy, parent education and support, case management, school based counseling, medication support, psychological testing, support groups, social skills groups, substance abuse treatment groups for teens, anger management groups, batterer's treatment groups, teacher consultation, intensive in-home services, work shops, positive role models for teens, early head start programs for residents of El Monte, South El Monte and Puente.","Children and families. Service languages: English, Armenian, Tagalong, Korean, Thai, Japanese, Arabic, Cantonese, Spanish, Farsi, Khmer, Mandarin, American Sign, Filipino.",Mon-Fri 8am-9pm,1215 W. West Covina Pkwy ,STE. 200,CA,West Covina,91790,"626.338.9200 

Intake Department 

866.304.4337",,www.foothillfamily.org,,
