StreetAddress,City,State,Zip,AUTO_UNIQUE_ID_2016-07-07_marky_r_dop_services,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType
11601 S Western Ave,Los Angeles,CA,90047,51,USCGeocoder,18,1,4.1,,3a4b984b-0e7f-48d9-9f9b-898b10d02026,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5503.5509521696,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.9285995706,-118.3090525516,Relaxed,TwoThousandTen,84116,4472,31084,91400,0,31100,1021,1,6027,37,6,1,ResidenceStreetAddress
11635 E. Valley Blvd.,El Monte,CA,91732,52,USCGeocoder,36,1,4.1,,4fa8bb7d-a490-4e85-8f74-714f308ba2dc,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,8056.1810919461,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0674068199,-118.0258653506,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,1008,1,4333.02,37,6,1,ResidenceStreetAddress
11640 West Slauson Ave,Whittier,CA,90606,53,USCGeocoder,11,1,4.1,,cc5c975c-ce7d-4f4b-99a8-c6221b903629,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5869.3200175911,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.9642800716,-118.0673287932,Relaxed,TwoThousandTen,69154,4472,31084,93730,0,31100,1018,1,5023.02,37,6,1,ResidenceStreetAddress
11643 GLENOAKS BLVD,Pacoima,CA,91331,54,USCGeocoder,36,1,4.1,,47d6b032-986e-4b03-a271-36a5b922df59,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5344.3270571828,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.2809838146,-118.4202674899,Relaxed,TwoThousandTen,44000,4472,31084,92785,0,31100,1008,1,1043.1,37,6,1,ResidenceStreetAddress
11721 Telegraph Road,Sante Fe Springs,CA,90670,55,USCGeocoder,16,1,4.1,,185ad7a2-b2b6-4fcc-97b5-957fae4e3026,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,13639.0645847023,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.9471040166,-118.082804002,Relaxed,TwoThousandTen,69154,4472,31084,93730,0,31100,3021,3,5027,37,6,1,ResidenceStreetAddress
118 South Oak Knoll Ave,Pasadena,CA,91101,56,USCGeocoder,24,1,4.1,,962aab6c-dc1c-4aeb-a514-33bb66a2e8db,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1560.8570292294,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1437849439,-118.1346982257,Relaxed,TwoThousandTen,56000,4472,31084,92400,0,31100,3004,3,4636.01,37,6,1,ResidenceStreetAddress
1180 N. Lincoln Ave,Pasadena,CA,91103,57,USCGeocoder,12,1,4.1,,a0cf7e19-b9fd-4e9f-b95b-3ca128a45ed2,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2935.0738690496,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1665067892,-118.1592011242,Relaxed,TwoThousandTen,56000,4472,31084,92400,0,31100,2000,2,4616,37,6,1,ResidenceStreetAddress
119 E. Washington Blvd,Pasadena,CA,91103,58,USCGeocoder,28,1,4.1,,439b70b9-5d32-4cb0-80d5-b4fae063c8f1,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1879.5536930072,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.168955371,-118.1478632587,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,2016,2,4615.02,37,6,1,ResidenceStreetAddress
11927 Elliot Ave,Pomona,CA,91732,59,USCGeocoder,78,1,4.1,,f11883d2-ccb4-44ff-a9ca-3528e0dbd621,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,499.2347117744,LinearInterpolationAddressRange,StreetSegment,94.5562130178,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0579721705,-118.0258332151,Relaxed;Soundex,TwoThousandTen,22230,4472,31084,93510,0,31100,3001,3,4339.01,37,6,1,ResidenceStreetAddress
1200 E Washington Blvd,Santa Fe,CA,90606,60,USCGeocoder,57,1,4.1,,d355997f-4a66-43c4-8aa9-e07611143ea9,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,33.980225,-118.066303,Exact,TwoThousandTen,84921,4472,31084,93730,0,31100,3005,3,5010.02,37,6,4,ResidenceZIP
1200 Wilshire Blvd.,Los Angeles,CA,90017,61,USCGeocoder,57,1,4.1,,13721882-8da5-4009-b9bc-9ae9e448d937,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1394.2551932484,ArealInterpolationGeometricCentroid,Parcel,97.8106508876,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.025073036,-118.4900053656,Relaxed,TwoThousandTen,70000,4472,31084,92920,0,31100,2006,2,7015.02,37,6,1,ResidenceStreetAddress
1205 N. Baker St.,Ontario,CA,NA,62,USCGeocoder,13,1,4.1,,59082a51-294a-48e4-aa28-a324264b25d9,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,7366.0570160341,ArealInterpolationGeometricCentroid,Parcel,90.8284023669,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0799447479,-117.6203605126,Relaxed,TwoThousandTen,53896,4472,,92260,0,40140,1005,1,13.05,71,6,1,ResidenceStreetAddress
121 E. F St,Ontario,CA,91701,63,USCGeocoder,873,1,4.1,,0f95bacc-00d9-4e48-9c70-0175c92b8284,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2904.387433378,LinearInterpolationAddressRange,StreetSegment,92.0118343195,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0695371827,-117.6507255034,Relaxed,TwoThousandTen,53896,4472,,92260,0,40140,1006,1,14,71,6,1,ResidenceStreetAddress
12141 Lewis St.,Garden Grove,CA,92640,64,USCGeocoder,67,1,4.1,,859cc38b-6136-4207-94a0-cf95767decad,11,CityCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,46513187.3774934,ArealInterpolationGeometricCentroid,City,100,FeatureClassBased,ReturnAll,,CityCentroid,,,0,33.7786940487,-117.9601111278,Exact,TwoThousandTen,29000,4472,42044,90050,0,31100,4009,4,887.01,59,6,9,Missing
1215 W. West Covina Pkwy,West Covina,CA,91790,65,USCGeocoder,119,1,4.1,,8d9c0fc8-1524-4521-ab08-d99007bd9df5,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.065225,-117.938282,Exact,TwoThousandTen,84200,4472,31084,90810,0,31100,3002,3,4067.02,37,6,4,ResidenceZIP
123 W. Maple Ave,Orange,CA,92856,66,USCGeocoder,123,1,4.1,,d1be88f7-0520-4112-8d66-a3276dadf613,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2328.0383293252,LinearInterpolationAddressRange,StreetSegment,92.0118343195,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.7897762011,-117.8533343814,Relaxed,TwoThousandTen,53980,4472,42044,90050,0,31100,3022,3,759.01,59,6,1,ResidenceStreetAddress
12401 Washington Blvd,Whittier,CA,90602,67,USCGeocoder,1,1,4.1,,f1644212-2d35-4daa-9a0a-b2a8dffd43b5,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,102597.414201498,ArealInterpolationGeometricCentroid,Parcel,99.3076923077,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.9697936147,-118.0493598533,Relaxed,TwoThousandTen,85292,4472,31084,93730,0,31100,2000,2,5021,37,6,1,ResidenceStreetAddress
1241 S. Soto Street,Los Angeles,CA,90023,68,USCGeocoder,18,1,4.1,,12d65f79-27a2-4f69-bb7f-675c87876cb5,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,6674.7127819061,ArealInterpolationGeometricCentroid,Parcel,99.1568047337,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0271231361,-118.2199792133,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,1079,1,2060.5,37,6,1,ResidenceStreetAddress
12426 Whittier Blvd.,Whittier,CA,90602,69,USCGeocoder,20,1,4.1,,54aa8526-af10-427b-a2f5-e6079b92d727,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1847.6507974863,ArealInterpolationGeometricCentroid,Parcel,99.3076923077,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.9721089076,-118.0455526656,Relaxed,TwoThousandTen,85292,4472,31084,93730,0,31100,2010,2,5021,37,6,1,ResidenceStreetAddress
1255 San Gabriel Blvd,Rosemead,CA,91770,70,USCGeocoder,38,1,4.1,,7150b368-9120-43a7-b25b-40e4dc163fe5,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5130.086160481,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0420163178,-118.0888896753,Relaxed,TwoThousandTen,62896,4472,31084,93200,0,31100,1010,1,4825.22,37,6,1,ResidenceStreetAddress
1277 North Wilcox Ave,Los Angeles,CA,90038,71,USCGeocoder,81,1,4.1,,16718e31-a0ad-4489-a3f6-56daa9836b17,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2310.7546252259,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0940498238,-118.3310753815,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,1003,1,1908.02,37,6,1,ResidenceStreetAddress
12860 Crossroads Pkwy South,City of Industry,CA,91746,72,USCGeocoder,20,1,4.1,,33440388-6f8f-40c4-80dd-a0e8efcc091b,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,9206.19519246,ArealInterpolationGeometricCentroid,Parcel,96.0355029586,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0282557293,-118.0243490101,Relaxed,TwoThousandTen,36490,4472,31084,90810,0,31100,3040,3,4084.02,37,6,1,ResidenceStreetAddress
12900 Park Plaza Dr.,Cerritos,CA,90703,73,USCGeocoder,47,1,4.1,,69c15372-d9ec-4f7c-afcc-3fba1eac2c57,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,31761.7260614932,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.8670047209,-118.0563878691,Relaxed,TwoThousandTen,12552,4472,31084,90730,0,31100,2017,2,5545.12,37,6,1,ResidenceStreetAddress
13001 Ramona Blvd.,Irwindale,CA,91706,74,USCGeocoder,115,1,4.1,,40d035e0-af25-4876-ad1c-74e366cedd0d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4779.8895500302,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0797051703,-117.9890602771,Relaxed,TwoThousandTen,3666,4472,31084,90810,0,31100,4003,4,4048.01,37,6,1,ResidenceStreetAddress
13010 Valley Blvd ( Valley Inn),La Puente,CA,91746,75,USCGeocoder,129,1,4.1,,68714841-8dcd-4c41-a001-8f5d63e56433,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.049002,-117.979948,Exact,TwoThousandTen,40340,4472,31084,90810,0,31100,1002,1,4071.02,37,6,4,ResidenceZIP
13020 Francisquito Ave,Baldwin Park,CA,90706,76,USCGeocoder,142,1,4.1,,d5d78a0f-5d80-4c82-b3d6-969626884bc2,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,33.888756,-118.128543,Exact,TwoThousandTen,4982,4472,31084,90730,0,31100,1004,1,5540.02,37,6,4,ResidenceZIP
1311 Las Tunas Dr.,San Gabriel,CA,91770,77,USCGeocoder,40,1,4.1,,75a54d32-7f4d-4e91-ba94-0d39f7d703ad,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4002.7839428247,LinearInterpolationAddressRange,StreetSegment,93.9349112426,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.103555871,-118.0792956671,Relaxed,TwoThousandTen,67042,4472,31084,93200,0,31100,2021,2,4801.02,37,6,1,ResidenceStreetAddress
1345 Turnbull Canyon Rd,Hacienda Heights,CA,91745,78,USCGeocoder,41,1,4.1,,47a0506c-c25f-4758-ba9d-731c62c82365,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,25387.9323233977,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0112314983,-117.9805611912,Relaxed,TwoThousandTen,31596,4472,31084,90810,0,31100,1007,1,4084.02,37,6,1,ResidenceStreetAddress
135 N Mission Road,Los Angeles,CA,90033,79,USCGeocoder,21,1,4.1,,3b3687cc-6159-493c-a00b-b15064951a81,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1386.6142800823,ArealInterpolationGeometricCentroid,Parcel,99.1568047337,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.048956816,-118.2279832326,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,3011,3,2060.32,37,6,1,ResidenceStreetAddress
135 N. Oakland Ave,Pasadena,CA,91102,80,USCGeocoder,85,1,4.1,,c00703ec-b69d-4538-aa0f-6c62c7744b4e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2501.3529455084,LinearInterpolationAddressRange,StreetSegment,96.0059171598,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1489334581,-118.1400460733,Relaxed,TwoThousandTen,56000,4472,31084,92400,0,31100,2007,2,4622.02,37,6,1,ResidenceStreetAddress
1350 Arrow Hwy,Pomona,CA,91767,81,USCGeocoder,79,1,4.1,,94e7ad76-05d8-4681-941f-21663caf0fca,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.081648,-117.740882,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,1016,1,4021.02,37,6,4,ResidenceZIP
1350 Third St.,La Verne,CA,91750,82,USCGeocoder,27,1,4.1,,6c7e81b8-ed57-4beb-99ea-dd9f06e24363,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,61582.1798406765,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.1029302889,-117.7854112774,Relaxed;Soundex,TwoThousandTen,40830,4472,31084,90810,0,31100,3005,3,4015,37,6,1,ResidenceStreetAddress
1360 Mission Street,San Francisco,CA,94103,83,USCGeocoder,13,1,4.1,,0af650da-a656-4ede-b8da-acd6bf79c7d7,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,868.7703256607,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,37.7758715399,-122.4156224981,Relaxed,TwoThousandTen,67000,7362,41884,92790,0,41860,4004,4,176.01,75,6,1,ResidenceStreetAddress
13965 E. Ramona Pkwy,Baldwin Park,CA,91706,84,USCGeocoder,34,1,4.1,,7ac479cd-75db-45e1-a210-b4febb9178b9,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,7126.921951443,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0853233678,-117.9695456115,Relaxed,TwoThousandTen,3666,4472,31084,90810,0,31100,2008,2,4049.03,37,6,1,ResidenceStreetAddress
1403 N. Garey Ave.,Pomona,CA,91767,85,USCGeocoder,116,1,4.1,,2272acf0-d0e5-4911-9e2a-4d8505240a31,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2302.9629250965,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0717888063,-117.7522580304,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,1003,1,4023.03,37,6,1,ResidenceStreetAddress
14101 E. Nelson Ave,La Puente,CA,91746,86,USCGeocoder,52,1,4.1,,81620c62-07f5-47aa-817b-02f6ead19c72,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1444.8596165776,ArealInterpolationGeometricCentroid,Parcel,94.2603550296,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0434145759,-117.9803052443,Relaxed,TwoThousandTen,40340,4472,31084,90810,0,31100,2001,2,4071.02,37,6,1,ResidenceStreetAddress
14125 Telephone Ave.,Chino,CA,91710,87,USCGeocoder,2,1,4.1,,947b2fb4-f8e2-4885-9bc4-776f1310ec3d,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,12656.0238831043,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.9965589834,-117.6927519974,Relaxed,TwoThousandTen,13210,4472,,92260,0,40140,1027,1,5.04,71,6,1,ResidenceStreetAddress
1418 Arrow Hwy,Irwindale,CA,91706,88,USCGeocoder,41,1,4.1,,07c266d4-279e-48ee-bf6e-56387316694a,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,922.8467450081,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1149386195,-117.976478749,Exact,TwoThousandTen,36826,4472,31084,90810,0,31100,2114,2,4046,37,6,1,ResidenceStreetAddress
1420 S. Garey Ave.,Pomona,CA,91766,89,USCGeocoder,28,1,4.1,,7b52bcb2-c4fa-49bd-8284-e90e3dbf923c,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3483.6177213788,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0458530604,-117.7490784384,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1011,1,4028.03,37,6,1,ResidenceStreetAddress
1427 W Covina Parkway,West Covina,CA,91790,90,USCGeocoder,32,1,4.1,,32201d60-7ff1-4bf3-9990-b98928f3f6ee,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.065225,-117.938282,Exact,TwoThousandTen,84200,4472,31084,90810,0,31100,3002,3,4067.02,37,6,4,ResidenceZIP
1427 W. Covina Pkwy,West Covina,CA,91790,91,USCGeocoder,6,1,4.1,,910e9509-c8cf-42d6-9015-fd04a52de8d0,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.065225,-117.938282,Exact,TwoThousandTen,84200,4472,31084,90810,0,31100,3002,3,4067.02,37,6,4,ResidenceZIP
1441 Santa Anita Ave,South El Monte,CA,91733,92,USCGeocoder,142,1,4.1,,40dd5503-ee62-4887-9251-538d152a785e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,8869.0805613464,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0445774751,-118.0456694852,Exact,TwoThousandTen,72996,4472,31084,93510,0,31100,1013,1,4337,37,6,1,ResidenceStreetAddress
145 S. Fairfax Ave,Los Angeles,CA,91606,93,USCGeocoder,59,1,4.1,,cfab21bc-2720-4de4-bc5c-8647c026ce16,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.186265,-118.391357,Exact,TwoThousandTen,44000,4472,31084,92785,0,31100,1004,1,1239.01,37,6,4,ResidenceZIP
14530 Pacific Ave.,Baldwin Park,CA,91706,94,USCGeocoder,33,1,4.1,,d5767892-d166-4fcd-bd9b-1a7557761579,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,669.1418109685,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0834517614,-117.9586008871,Relaxed,TwoThousandTen,3666,4472,31084,90810,0,31100,2012,2,4052.02,37,6,1,ResidenceStreetAddress
14545 Leffingwell Rd,Whittier,CA,90604,95,USCGeocoder,78,1,4.1,,07818508-34cf-4f7c-95c4-f80463325681,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2029.5934089422,LinearInterpolationAddressRange,StreetSegment,99.899408284,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.9245662699,-118.0220670951,Relaxed,TwoThousandTen,73430,4472,31084,93730,0,31100,3011,3,5035.01,37,6,1,ResidenceStreetAddress
1460 E. Holt Ave.,Pomona,CA,91767,96,USCGeocoder,14,1,4.1,,dd874a18-f8d4-4e70-bdf7-0b7cd169309c,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,81883.937210083,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0614617438,-117.7207476236,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1005,1,4027.02,37,6,1,ResidenceStreetAddress
1460 Holt Ave,Pomona,CA,91767,97,USCGeocoder,1,1,4.1,,857e3abc-5303-4aaf-84f1-83aa4066d8ce,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,81883.937210083,ArealInterpolationGeometricCentroid,Parcel,95.2662721893,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0614617438,-117.7207476236,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1005,1,4027.02,37,6,1,ResidenceStreetAddress
1460 N Lake,Pasadena,CA,91104,98,USCGeocoder,435,1,4.1,,d2291da4-6e12-43d0-9bac-554d3ac6e1c8,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.166482,-118.120445,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,1004,1,4624,37,6,4,ResidenceZIP
1460 N. Lake Avenue,Pasadena,CA,91104,99,USCGeocoder,175,1,4.1,,c95fe072-0cc5-4838-b3ab-b577c47951b3,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2172.1942511485,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1710578765,-118.132055058,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,3009,3,4614,37,6,1,ResidenceStreetAddress
14832 Valley Blvd,La Puente,CA,91744,100,USCGeocoder,148,1,4.1,,92f83eec-8b8d-45d3-a622-4a13a3619c2c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.028223,-117.937998,Exact,TwoThousandTen,36490,4472,31084,90810,0,31100,1016,1,4078.02,37,6,4,ResidenceZIP
150 W Commonwealth Ave,Alhambra,CA,91801,101,USCGeocoder,15,1,4.1,,21a60e82-727c-4f96-9a70-8d7bbb9fcb9b,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,10662.2257995307,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0908712935,-118.1259459896,Relaxed,TwoThousandTen,884,4472,31084,93200,0,31100,1010,1,4810.01,37,6,1,ResidenceStreetAddress
1500 S. Grand Ave.,Los Angeles,CA,90015,102,USCGeocoder,32,1,4.1,,e5ea0712-739e-4167-89f5-86a9508e8b87,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4080.6164637208,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0359524041,-118.2656941851,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,1014,1,2240.1,37,6,1,ResidenceStreetAddress
